id;merchant_name;address;merchant_type;image_profil;image_profil_content_type;mobile_phone
1;ROI;metrics;CRAFTMAN;../fake-data/blob/hipster.png;image/png;Soft
2;Licensed;green Clothing;RESTAURANT;../fake-data/blob/hipster.png;image/png;Account SAS Pizza
3;Distributed teal;Developpeur Wooden Computers;RESTAURANT;../fake-data/blob/hipster.png;image/png;Steel tan c
4;copy override;innovative Steel Fantastic;RESTAURANT;../fake-data/blob/hipster.png;image/png;white oriental face
5;Gorgeous card d'Abbeville;Comores a;CRAFTMAN;../fake-data/blob/hipster.png;image/png;Leu tolerance Handmade
6;invoice Limousin open;Shirt Unbranded;CRAFTMAN;../fake-data/blob/hipster.png;image/png;Team-oriented override
7;analyzer;TCP Tasty;CRAFTMAN;../fake-data/blob/hipster.png;image/png;Wooden Intelligent Concrete
8;Account Bedfordshire;a;CRAFTMAN;../fake-data/blob/hipster.png;image/png;sensor
9;payment Intelligent a;Table;RESTAURANT;../fake-data/blob/hipster.png;image/png;array a Berkshire
10;Consultant microchip transmit;portals Frozen channels;CRAFTMAN;../fake-data/blob/hipster.png;image/png;Handcrafted transitional
